144,58.62,55.68,56.79
145,62.01,59.02,59.84
146,60.42,57.87,58.87
147,58.36,56.22,57.18
148,58.04,55.82,56.67
149,55.46,53.27,54.08
150,56.52,54.18,54.88
151,55.83,53.51,54.09
152,57.83,55.41,56.18
153,57.12,54.73,55.77
154,57.64,55.35,56.1
155,57.16,54.15,55.02
156,56.56,53.48,54.21
157,57.5,54.24,55
158,58.51,55.38,56.12
159,58.32,55.38,56.13
160,59.3,56.36,57.2
161,57.98,55.09,55.76
162,59.19,56.48,57.29
163,56.67,54.85,55.78
164,57.69,55.8,56.54
165,57.18,55.26,56.26
166,56.18,54.34,55.29
167,57.63,55.95,56.75
168,55.69,53.84,54.46
169,56.61,54.86,55.71
170,54.78,52.88,53.79
171,55.3,53.47,54.15
172,56.07,53.83,54.78
173,58.84,56.61,57.52
174,56.62,54.38,55.22
175,55.17,53.01,53.81
176,57.98,55.85,56.68
177,55.86,53.38,54.24
178,56.25,54.08,54.69
179,57.02,54.72,55.38
180,59.3,57,57.87
181,60.97,58.57,59.39
182,62.2,59.74,60.53
183,61.32,58.9,59.89
184,61.31,59.23,60.09
185,58.89,56.19,57.27
186,60.49,58.09,58.97
187,60.07,58,59.02
188,58.52,56.43,57.19
189,58.64,56.63,57.3
190,57.43,55.4,56.25
191,57.83,55.58,56.49
192,58.29,56.17,56.94
193,58.47,56.41,57.24
194,57.35,55.3,56.21
195,59.57,57.45,58.36
196,59.21,56.94,57.56
197,56.13,53.56,54.36
198,56.68,53.85,54.64
199,58.68,55.92,56.77
200,60.11,57.52,58.43
201,58.77,56.05,57.13
202,57.38,54.75,55.46
203,57.46,55.13,56.04
204,58.82,57.13,58.08
205,58.15,56.59,57.38
206,57.67,55.9,56.55
207,59.02,57.23,57.97
208,60.2,58.56,59.23
209,58.55,56.76,57.52
210,56.87,54.9,55.62
211,57.73,55.69,56.34
212,60.88,58.42,59.24
213,59.22,56.57,57.36
214,59.61,57.01,57.77
215,59.46,56.78,57.49
216,58.13,55.71,56.37
217,61.43,58.85,59.72
218,61.05,58.51,59.4
219,61.51,59.07,59.81
220,60.61,57.34,58.18
221,61.71,58.71,59.45
222,61.2,58.2,58.98
223,60.96,58.06,58.7
224,63.16,59.95,60.53
225,63.39,60.2,60.97
226,61.77,58.92,59.55
227,63.53,60.85,61.36
228,62.47,59.31,60.08
229,62.12,59,59.89
230,61.22,58.12,58.86
231,58.36,54.84,55.53
232,59.45,56.02,56.93
233,58.25,54.89,55.5
234,57.58,54.04,54.52
235,55.73,53.36,53.99
236,58.46,56.15,56.69
237,59.46,57.08,57.66
238,58.29,56.05,56.73
239,46.83,44.22,45
240,42.07,39.82,40.75
241,44.18,42.43,43.15
242,44.19,42.53,43.19
243,44.63,43.07,43.64
244,43.79,42.18,42.45
245,44.03,42.38,42.94
246,44.64,43.05,43.41
247,44.94,43.32,43.69
248,44.07,42.48,42.84
249,44.89,43.38,43.66
250,44.98,43.31,43.6
251,46.01,44.3,44.62
252,46.34,44.67,44.92
253,44.63,43.02,43.24
254,45.84,44.09,44.33
255,46.03,43.79,44.06
256,44.75,42.25,42.52
257,45.48,43.17,43.32
258,45.43,43.17,43.33
259,45.44,43.21,43.4
260,45.05,42.8,43.05
261,44.62,42.32,42.62
262,45.78,43.37,43.57
263,45.9,43.41,43.51
264,45.32,43.16,43.35
265,46.91,44.39,44.54
266,46.18,43.4,43.52
267,46.45,43.9,44.02
268,48.02,45.43,45.54
269,47.39,44.64,44.75
270,45.85,43.29,43.39
271,46.52,43.88,43.99
272,46.6,43.73,43.85
273,47.05,44.28,44.38
274,45.47,42.77,42.89
275,45.93,42.9,43
276,46.25,43.51,43.57
277,46.22,43.23,43.34
278,46.26,43.54,43.59
279,46.38,43.34,43.46
280,45.85,42.87,43
281,46.7,44,44.09
282,46.18,43.33,43.38
283,46.78,43.75,43.81
284,46.34,43.69,43.73
285,46.31,43.93,44
286,45.05,42.49,42.54
287,46.02,43.57,43.69
288,46.64,44.26,44.29
289,44.51,42.32,42.36
290,45.66,43.3,43.38
291,46.26,43.82,43.86
292,44.8,42.27,42.33
293,46.45,44.22,44.27
294,46.01,43.58,43.64
295,45.58,43.1,43.18
296,46.4,43.76,43.81
297,45.35,42.74,42.8
298,46.84,44.03,44.11
299,46.99,44.46,44.5
300,46.92,44.17,44.25
301,47.46,44.61,44.65
302,45.49,43.07,43.12
303,46.7,44.13,44.17
304,45.42,42.61,42.62
305,46.62,44.17,44.18
306,45.65,42.74,42.81
307,45.61,42.92,42.96
308,45.96,43.44,43.44
309,46.44,43.79,43.87
310,45.61,42.72,42.77
311,46.53,43.81,43.9
312,46.65,44.1,44.2
313,46.99,44.46,44.5
314,45.65,42.9,42.93
315,46.51,43.92,43.97
316,45.53,42.8,42.8
317,46.79,43.89,43.97
318,46.92,44.17,44.18
319,46.35,43.57,43.59
320,46.36,43.75,43.76
321,45.99,43.42,43.46
322,47.07,44.4,44.42
323,48.08,45.52,45.54
324,46.69,44.08,44.08
325,46.88,44.06,44.1
326,46.75,43.93,43.98
327,46.14,43.47,43.5
328,45.69,42.77,42.78
329,45.74,42.84,42.87
330,54.48,52.28,52.39
331,62.55,61.6,62.01
332,58.87,57.68,58.21
333,61.36,60.26,60.78
334,59.31,57.91,58.5
335,59.49,57.96,58.4
336,60.29,58.09,58.51
337,58.82,56.72,57.05
338,59.95,57.85,58.23
339,61.23,59.42,59.83
340,59.35,57.25,57.62
341,58.98,56.9,57.35
342,58.65,56.38,56.89
343,57.42,55.57,55.99
344,58.86,56.99,57.37
345,59.15,57.42,57.93
346,57.69,55.86,56.32
347,59.55,57.96,58.34
348,58.4,56.54,57.03
349,58.86,56.95,57.45
350,57.72,55.93,56.32
351,56.28,54.29,54.65
352,58.3,55.92,56.18
353,58.01,55.57,55.91
354,58.97,56.37,56.75
355,60.26,57.83,58.15
356,56.71,54.1,54.36
357,56.78,54.28,54.63
358,55.01,52.32,52.69
359,55.52,53.44,53.83
360,60.07,58.57,58.91
361,59.33,57.58,57.84
362,61.32,59.49,59.97
363,58.92,57.31,57.73
364,58.05,56.4,56.69
365,56.74,55.07,55.35
366,58.24,56.52,56.88
367,57.99,56.32,56.64
368,58.93,56.6,57.05
369,59.36,57.06,57.54
370,58.17,55.72,56.15
371,57.21,55.01,55.3
372,55.87,53.41,53.79
373,58.03,55.82,56.22
374,59.64,57.57,57.96
375,58.22,56.38,56.68
376,59.83,58.05,58.38
377,60.26,58.26,58.55
378,60.99,58.95,59.33
379,60.57,58.59,59.08
380,58.88,56.68,57.06
381,60.04,58.09,58.41
382,61.05,58.97,59.28
383,60.66,59.05,59.38
384,58.62,56.75,57.17
385,58.48,56.49,56.88
386,58.26,56.27,56.79
387,58.32,56.28,56.65
388,57.05,54.92,55.16
389,57.59,55.55,55.86
390,57.87,55.77,56.18
391,59.96,57.94,58.21
392,58.18,56.03,56.41
393,58.1,55.74,56.23
394,56.51,54.36,54.72
395,56.05,53.91,54.16
396,56.66,54.13,54.56
397,58.04,55.8,56.1
398,58.74,56.31,56.58
399,56.52,54.27,54.6
400,56.97,54.22,54.43
401,57.91,54.48,54.79
402,58.76,55.6,56.16
403,58.28,54.89,55.27
404,60.52,57.35,57.78
405,61.26,58.06,58.51
406,60.04,56.72,57.04
407,64.02,60.83,61.19
408,60.34,57.04,57.4
409,60.69,57.63,57.93
