348,41.82,39.63,36.45,99.74,2.19
349,38.69,36.55,33.55,99.86,2.14
350,43.67,41.3,37.88,99.83,2.37
351,43.53,41.38,38.14,99.77,2.15
352,42.51,40.57,37.37,99.84,1.94
353,42.28,40.23,36.64,99.73,2.05
354,39.79,37.86,34.7,99.79,1.93
355,43.23,41.06,37.83,99.75,2.17
356,43.51,41.69,38.63,99.83,1.82
357,43.41,41.27,37.96,99.76,2.14
358,41.84,39.84,36.45,99.63,2
359,38.52,35.99,33.06,99.83,2.53
360,41.99,39.85,36.5,99.79,2.14
361,39.79,37.74,34.61,99.84,2.05
362,46.73,44.85,41.38,99.78,1.88
363,40.67,38.49,35.25,99.82,2.18
364,38.73,36.17,33.36,99.78,2.56001
365,41.54,39.11,36.17,99.84,2.43
366,40.96,38.91,35.99,99.8,2.05
367,37.85,35.43,32.66,99.87,2.42
368,40.55,38.25,34.94,99.77,2.3
369,42.13,40.03,36.96,99.8,2.1
370,38.81,36.71,33.58,99.73,2.1
371,41.1,39.03,35.82,99.8,2.07
372,41.49,39.49,36.18,99.75,2
373,41.94,39.87,36.76,99.82,2.07
374,40.16,38.08,34.9,99.88,2.08
375,41.84,39.77,36.65,99.79,2.07
376,42.35,40.34,37.01,99.84,2.01
377,41.07,38.76,35.69,99.75,2.31
378,42.92,40.97,37.53,99.8,1.95
379,41.27,39.49,36.05,99.87,1.78
380,39.23,36.79,33.75,99.83,2.44
381,38.63,36.36,33.34,99.91,2.27
382,41.76,39.52,36.5,99.87,2.24
383,39.35,36.96,33.8,99.72,2.39
384,39.74,37.56,34.55,99.77,2.18
385,45.05,43.27,39.73,99.77,1.78
386,41.9,39.65,36.24,99.8,2.25
387,41.23,38.78,35.56,99.8,2.45
388,41.68,39.61,36.47,99.85,2.07
389,44.34,42.37,38.79,99.79,1.97
390,41.62,39.59,36.36,99.78,2.03
391,39.31,37.06,33.78,99.81,2.25
392,43.34,41.23,37.86,99.78,2.11
393,41.55,39.25,36.07,99.77,2.3
394,41.27,39.08,35.71,99.83,2.19
395,42.88,40.44,37.35,99.76,2.44
396,41.81,39.76,36.37,99.9,2.05
397,41.91,39.57,36.19,99.87,2.34
398,41.59,39.42,36.12,99.84,2.17
399,45.35,43.47,40.05,99.84,1.88
400,41.36,39.07,35.91,99.72,2.29
401,40.93,38.65,35.38,99.86,2.28
402,43.96,42.18,38.82,99.85,1.78
403,43.42,41.51,37.99,99.79,1.91
404,42.49,40.28,37.1,99.8,2.21
405,43.56,41.33,37.99,99.83,2.23
406,43.23,41.25,37.73,99.81,1.98
407,42.93,40.6,37.29,99.83,2.33
408,47.53,45.67,42.1,99.64,1.86
409,41.7,39.6,36.25,99.87,2.1
410,41.86,39.61,36.16,99.78,2.25
411,41.15,39.03,35.77,99.83,2.12
412,41.77,39.27,36.24,99.73,2.5
413,41.3,39.33,36.21,99.73,1.97
414,43.13,40.58,37.25,99.81,2.55
415,41.52,39.31,35.97,99.93,2.21
416,40.03,37.74,34.53,99.9,2.29
417,41.25,39.02,35.9,99.88,2.23
418,40.81,38.44,35.4,99.83,2.37
419,44.43,42.24,38.88,99.82,2.19
420,39.69,37.17,34.1,99.89,2.52
421,37.88,35.26,32.01,99.75,2.62
422,37.83,35.35,32.53,99.8,2.48
423,42.25,40.2,36.96,99.78,2.05
424,40.47,38.33,35.06,99.48,2.14
425,43.29,40.87,37.56,99.79,2.42
426,43.37,40.88,37.16,99.81,2.49
427,38.82,36.65,33.58,99.88,2.17
428,41.49,39.19,35.97,99.79,2.3
429,41.24,38.84,35.66,99.87,2.4
430,38.75,36.41,33.49,99.81,2.34
431,39.84,37.54,34.41,99.89,2.3
432,40.51,38.24,35.01,99.87,2.27
433,41.5,39.17,35.83,99.85,2.33
434,41.38,39.42,36.09,99.85,1.96
435,41.43,39.29,35.92,99.81,2.14
436,37.89,35.48,32.61,99.88,2.41
437,37.27,34.92,31.62,99.89,2.35
438,39.85,37.82,34.51,99.8,2.03
439,42.5,40.38,37.15,99.81,2.12
440,38.73,36.57,33.33,99.82,2.16
441,42.6,40.21,37.14,99.88,2.39
442,41,38.57,35.22,99.85,2.43
443,44.45,42.51,39.13,99.85,1.94
444,40.34,37.9,34.72,99.86,2.44
445,38.29,35.62,32.8,99.81,2.67
446,39.89,37.33,34.25,99.82,2.56
447,38.63,36.41,33.22,99.77,2.22
448,40.43,38.31,35.12,99.83,2.12
